Date,Open,High,Low,Close,Adj Close,Volume
2019/10/1,200.5,212.5,196.5,206.5,136.92,29830925
2019/11/1,208,243,207.5,230.5,152.83,46379295
2019/12/1,230,239.5,227,231.5,153.5,24531998
2020/1/1,231.5,239,219,224,148.52,18075310
2020/2/1,220,233,206,206,136.59,22716239
2020/3/1,201.5,207,167,204.5,135.59,72279645
2020/4/1,202,203.5,190.5,202.5,134.27,42094860
2020/5/1,202.5,213,195,210.5,139.57,45375107
2020/6/1,212,249,209.5,216,143.22,81731411
2020/7/1,216.5,228,213,216.5,152.2,57299104
2020/8/1,215.5,259.5,212.5,243,170.82,91712997
2020/9/1,243,260,241,253.5,178.21,53319541
2020/10/1,253.5,258.5,236,242.5,170.47,48201220
2020/11/1,242.5,255,238.5,249,175.04,71038744
2020/12/1,249.5,265,247,250.5,176.1,56837770
2021/1/1,250.5,295,250,286.5,201.4,93112822
2021/2/1,285,311,280.5,304,213.71,54351088
2021/3/1,304,386,304,372.5,261.86,136189651
2021/4/1,374,398,365,376,264.32,71482301
2021/5/1,372.5,428,335,395,277.68,144781660
2021/6/1,399,404.5,365,371.5,261.16,75844599
2021/7/1,370.5,382.5,351,351,246.75,78699311
2021/8/1,315,329.5,307,324,227.77,74576937
2021/9/1,322,341,313.5,325.5,247.13,42849753
2021/10/1,325,359.5,319,353,268,51361673
2021/11/1,354,378,351.5,352.5,267.62,61690828
2021/12/1,356,377,355,376,285.47,46360286
2022/1/1,377,385,355,359.5,272.94,45569062
2022/2/1,359.5,381.5,359.5,371.5,282.05,26754227
2022/3/1,369.5,384.5,355,373.5,283.57,90611585
2022/4/1,371,373.5,348.5,357,271.04,45255710
2022/5/1,357,366.5,321.5,341.5,259.27,58436185
2022/6/1,342.5,346,308.5,310.5,235.74,57704769
2022/7/1,311,327,277,281.5,213.72,71348241
2022/8/1,281,284,248,255,222.96,85138845
2022/9/1,253.5,261,231.5,234,204.59,63960169
2022/10/1,228.5,247,223.5,236,206.34,55226792
2022/11/1,236,271.5,229.5,266,232.57,63037099
2022/12/1,270,283,261.5,268.5,234.76,69152509
2023/1/1,268.5,280.5,263.5,272,237.82,20905266
2023/2/1,274.5,282,270,278,243.07,26861610
2023/3/1,277,293,260.5,272.5,238.26,51549323
2023/4/1,272.5,282.5,268.5,282.5,247,27485696
2023/5/1,282.5,312,280.5,305,266.67,57322870
2023/6/1,304,328,301.5,314.5,274.98,53089549
2023/7/1,319,399,291,364,318.26,193524326
2023/8/1,376.5,438,352,402.5,369.66,246790090
2023/9/1,408,409,351.5,367,337.06,91530210
2023/10/1,370,388,331,338,310.43,75683680
2023/11/1,340,405,337,393.5,361.4,95218138
2023/12/1,390,502,382.5,489.5,449.57,127584377
2024/1/1,489.5,498,436,445.5,409.16,92691359
2024/2/1,447,488,442,455,417.88,53788355
2024/3/1,457,471.5,401,425.5,390.79,82630438
2024/4/1,431.5,455,406.5,430,394.92,59630182
2024/5/1,427,540,426.5,513,471.15,215230914
2024/6/1,522,527,477,498,457.37,86770406
2024/7/1,502,522,433,456,418.8,85211489
2024/8/1,470,564,422,537,510.92,115002948
2024/9/1,547,598,512,553,526.14,71645512
2024/10/1,555,613,553,575,547.07,56199814
2024/11/1,553,646,552,588,559.44,143302431
2024/12/1,594,625,586,616,586.08,61112067
2025/1/1,616,660,591,607,577.52,49035986
2025/2/1,600,715,598,682,648.87,70024329
2025/3/1,670,684,595,609,579.42,105902306
2025/4/1,613,616,441,580,551.83,92354807
2025/5/1,587,638,559,625,594.64,65566036
2025/6/1,619,745,616,644,612.72,128443612
